,date,90day_bull_prop_rollingz_60,cumulative_z,last
0,2017-02-21,1.165597729328302,0.0,136.7
1,2017-02-22,1.131645723223256,0.6785988411155951,137.07
2,2017-02-23,1.125000429791832,3.227714534600114,136.53
3,2017-02-24,1.087874832700057,0.322420014304218,136.66
4,2017-02-27,1.065403060170845,0.0,136.93
5,2017-02-28,1.034075062814761,1.821654151536401,137.0
6,2017-03-01,1.015564501478828,0.0,139.78
7,2017-03-02,1.000679027006857,0.62374586807664,138.96
8,2017-03-03,0.97790175141826,0.0,139.75
9,2017-03-06,0.9523963004186771,0.8533815523121391,139.34
10,2017-03-07,0.9381188728866061,0.187556518192108,139.52
11,2017-03-08,0.9108252260823411,1.267602840339656,139.06
12,2017-03-09,0.892067378401543,0.0,138.65
13,2017-03-10,0.866941248582141,1.561853278353647,139.14
14,2017-03-13,0.87834809928384,0.9626828409037681,139.2
15,2017-03-14,0.8863171871867951,0.836296102841481,138.99
16,2017-03-15,0.8693310732126691,0.0,140.46
17,2017-03-16,0.8330251639126091,2.034662620140833,140.66
18,2017-03-17,0.794465492154195,0.9605992778770831,140.82
19,2017-03-20,0.7947602715076131,0.36283385965400605,140.97
20,2017-03-21,0.7575407129094041,0.34040310049035105,140.17
21,2017-03-22,0.704267625163811,0.563049286294375,140.61
22,2017-04-12,0.6775488117784371,0.524671292659592,141.79
23,2017-04-13,0.6818099823078521,0.556943394699082,141.05
24,2017-04-14,0.683463569885556,0.005250586963619,141.05
25,2017-04-17,0.6837395183252211,0.24902027997313703,141.8
26,2017-04-18,0.667930897289374,0.0,141.2
27,2017-04-19,0.6753591391493251,0.199988446712932,140.68
28,2017-04-20,0.6903410478931741,0.0,142.44
29,2017-04-21,0.841526712531184,0.0,142.26
30,2017-04-24,1.089502811331208,0.0,143.62
31,2017-04-25,1.066782287777685,0.0,144.77
32,2017-04-26,1.153954386250841,0.6828887945025951,143.65
33,2017-04-27,1.284104298930182,0.260577072962525,143.79
34,2017-04-28,1.442183378740914,2.042332323116807,144.14
35,2017-05-01,1.5656240819340281,2.792605714366492,146.6
36,2017-05-02,1.540883593744553,4.462860347685502,147.51
37,2017-05-03,1.529180915105947,3.216427486462948,147.06
38,2017-05-04,1.46481042766091,1.212007287578328,146.53
39,2017-05-05,1.534419112245867,0.068691935762849,148.95
40,2017-05-08,2.021793827326175,2.084473114264399,153.0
41,2017-05-09,2.088384957841372,1.83277819835123,153.96
42,2017-05-10,1.98030963434184,1.9046084932357,153.26
43,2017-05-11,1.996499250079554,1.075591683841573,153.95
44,2017-05-12,2.211399544341178,4.217584572018003,156.1
45,2017-05-15,2.109584244622435,0.7949786338593671,155.7
46,2017-05-16,1.6104341328401142,0.0,155.47
47,2017-05-17,1.489773969489302,0.0,150.25
48,2017-05-18,1.441121762403275,0.0,152.54
49,2017-05-19,1.2864001169887,0.0,152.96
